	0	1	2	3	4	5	6	7	8	9
pca__n_components	0.94	0.9299999999999999	0.95	0.94	0.95	0.94	0.96	0.95	0.9299999999999999	0.89
pssmselector__iterations	1	1	1	1	1	1	1	1	1	1
pssmselector__uniref_threshold	50	50	50	50	50	50	50	50	50	50
svc__C	10	10	10	10	10	10	10	10	10	10
svc__class_weight	balanced	balanced	balanced	balanced	balanced	balanced	balanced	balanced	balanced	balanced
svc__decision_function_shape	ovo	ovo	ovo	ovo	ovo	ovo	ovo	ovo	ovo	ovo
svc__gamma	scale	scale	scale	scale	scale	scale	scale	scale	scale	scale
