	0	1	2	3	4	5	6	7	8	9
selectkbest__k	218	260	214	324	267	232	192	348	296	284
svc__C	10	10	10	10	10	10	10	10	1	10
svc__class_weight	balanced	balanced	balanced	balanced	balanced	balanced	balanced	balanced	balanced	balanced
svc__decision_function_shape	ovo	ovo	ovo	ovo	ovo	ovo	ovo	ovo	ovo	ovo
svc__gamma	scale	scale	scale	scale	scale	scale	scale	scale	scale	scale
